MSOAcode,log_Violent,PopDensity,Age16_29%,BAME%,Householdspaces_no_usualresidents,Household_Income,House_Price,Employment_Deprivation,EducationSkills_Deprivation,LivingEnvironment_Deprivation,Violent_Rate
E02000001,0.261615876,30,20.0228,21.4,1.315970345,4.901458321,5.968177901,0.051,4.410666667,49.3525,1.826484018
E02000002,1.48686567,34,17.7236,35,0.462397998,4.586587305,5.3762922,0.17075,33.099,17.85525,30.68072867
E02000003,1.434521636,50,18.6031,45.4,0.447158031,4.666517981,5.398328962,0.1155,17.47333333,28.35133333,27.19703978
E02000004,1.270473761,26,21.9535,19,0.278753601,4.656098202,5.415759377,0.138,23.301,16.2755,18.6411955
E02000005,1.432037887,76,18.4989,33.7,0.431363764,4.612783857,5.398138002,0.1524,27.7406,29.7296,27.0419426
E02000007,1.534035547,54,19.915,32.8,0.414973348,4.558708571,5.371260018,0.1906,33.4174,22.0474,34.20074349
E02000008,1.396229063,86,17.9472,30.4,0.041392685,4.551449998,5.359247174,0.171571429,29.24828571,26.56985714,24.9017038
E02000009,1.515908385,108,19.4034,38.8,0.380211242,4.5774918,5.343725582,0.166166667,31.31933333,30.59733333,32.80260886
E02000010,1.355404443,81,18.1121,30.8,0.204119983,4.596597096,5.348049664,0.1808,30.4178,23.6988,22.66754271
E02000011,1.401228913,42,19.1683,33.6,0.397940009,4.638489257,5.3787757,0.12175,22.3095,29.12625,25.19004323
E02000012,1.300384084,83,22.794,56.1,0.255272505,4.705863712,5.514826568,0.0972,16.9468,19.376,19.9702768
E02000013,1.345946932,67,16.9359,31.1,0.176091259,4.592176757,5.372272973,0.174,34.613,25.9952,22.17925387
E02000014,1.528302174,81,17.7173,29.5,0.230448921,4.580924976,5.359059128,0.178333333,33.25616667,27.7445,33.75220688
E02000015,1.544346528,57,20.8339,36.7,0.278753601,4.588831726,5.307376216,0.20325,34.399,24.28075,35.02245029
E02000016,1.836330381,100,23.1669,70.4,0.643452676,4.617000341,5.274591927,0.1435,17.67375,36.08125,68.60098965
E02000017,1.434583321,101,22.5959,68.7,0.380211242,4.691081492,5.386498966,0.109,17.0476,30.9992,27.20090293
E02000018,1.511163682,69,19.245,35.9,-0.15490196,4.553883027,5.351686174,0.1734,32.947,31.3738,32.4461881
E02000019,1.431128068,30,17.8324,36.1,0.255272505,4.603144373,5.360962426,0.1552,27.858,22.9798,26.98535081
E02000020,1.486560425,34,19.5026,53.6,0.361727836,4.609594409,5.321040966,0.1524,26.7628,29.083,30.6591722
E02000021,1.493131643,30,18.223,42.5,0.556302501,4.588831726,5.343566132,0.1488,26.6826,30.87,31.12659698
E02000022,1.470972893,116,18.8793,61.8,-0.15490196,4.532754379,5.281467445,0.1824,25.4796,26.711,29.57827845
E02000023,1.532580526,43,19.1017,54.8,0.176091259,4.549003262,5.356199923,0.17525,29.34425,27.66375,34.08635209
E02006799,1.491957295,92,18.0645,37.9,0.431363764,4.57054294,5.408178888,0.173333333,28.45733333,22.53016667,31.04254324
E02000024,1.26466993,29,14.8243,16.6,0.653212514,4.802089258,5.72130433,0.062,2.0295,20.867,18.3937352
E02000025,1.201637998,35,15.2321,21.3,0.447158031,4.698100546,5.605908113,0.1082,7.5004,16.6068,15.90882109
E02000026,1.015141896,45,14.9536,21.4,0.230448921,4.737987326,5.680795857,0.077,4.68,14.428,10.35480432
E02000027,1.350518672,60,17.2964,30.3,0.230448921,4.672097858,5.629299482,0.140666667,17.325,14.99483333,22.4139641
E02000028,1.222441374,62,15.7943,25.1,0.113943352,4.744292983,5.658040985,0.079,5.62525,21.67475,16.68942497
E02000029,1.367880286,53,15.8076,25,0.146128036,4.683047038,5.569152609,0.1046,8.0112,24.7836,23.3281493
E02000030,1.393424069,6,15.1008,25,0.62324929,4.773786445,5.967236651,0.070333333,6.817333333,12.71416667,24.7413885
E02000031,1.249966568,38,15.251,28.4,0.447158031,4.751279104,5.834913218,0.0642,3.1658,16.5838,17.78142525
E02000032,0.904099844,55,14.4594,32.3,0.204119983,4.748188027,5.756971397,0.0602,3.5094,16.088,8.018623901
E02000033,1.249398262,50,17.1021,31,0.380211242,4.686636269,5.593984586,0.1134,12.2132,17.3058,17.75817215
E02000034,1.111551888,57,15.9753,29.3,0.255272505,4.7084209,5.671089495,0.0822,6.0752,24.5598,12.92861158
E02000035,1.139938943,66,16.9334,36.1,0.477121255,4.716837723,5.689954935,0.083,4.3046,19.7226,13.80190211
E02000036,1.284071904,64,18.359,42,0.380211242,4.696356389,5.633777402,0.096333333,10.55733333,19.20666667,19.23410154
E02000037,1.202754803,22,15.7851,36.5,0.342422681,4.747411808,5.748630627,0.076166667,8.049833333,15.94716667,15.94978391
E02000038,1.2954818,64,18.6707,34.5,0.447158031,4.740362689,5.689164959,0.092,7.607,24.15266667,19.7461213
E02000039,1.231793695,33,16.7543,29.9,0.612783857,4.799340549,5.843504361,0.058,3.22425,24.11575,17.05272133
E02000040,1.24946823,14,16.7519,37.7,0.568201724,4.741151599,5.808912167,0.09075,10.42125,18.165,17.76103337
E02000041,1.466511303,71,18.51,42.8,0.51851394,4.677606953,5.67001751,0.094,11.238,27.3436,29.27597062
E02000042,1.356472555,96,17.2233,42,0.397940009,4.706717782,5.634268638,0.081666667,3.905666667,29.7005,22.7233603
E02000043,0.697857854,53,13.9258,39.6,0.397940009,4.84260924,5.844411312,0.042,2.0534,14.9012,4.987212276
E02000044,1.348139728,78,17.8448,43.9,0.342422681,4.689308859,5.601560265,0.1392,19.03,24.2858,22.29152229
E02000045,1.334798367,63,19.2071,35.5,0.301029996,4.689308859,5.62791657,0.119833333,11.45483333,21.21466667,21.61714654
E02000046,1.339063851,76,18.1559,37.2,0.397940009,4.744292983,5.796276608,0.05975,2.065,36.8855,21.83050847
E02000047,1.535822833,86,19.8119,53.9,0.342422681,4.64738297,5.481560144,0.125,22.87,23.817,34.3417825
E02000048,1.089604312,33,16.0472,36.1,0.342422681,4.740362689,5.729762344,0.0644,4.3414,20.6588,12.29148376
E02000049,1.442799562,117,19.7413,61.5,0,4.557507202,5.451112219,0.1804,23.5714,23.3968,27.72040439
E02000050,1.250109968,51,18.2809,37.6,0.230448921,4.698970004,5.684547355,0.108833333,10.94116667,23.07216667,17.78729745
E02000051,1.132190488,63,17.6252,34.3,0.62324929,4.709269961,5.850851389,0.0666,5.361,23.1346,13.55783949
E02000052,1.102123099,108,20.0786,26.6,0.397940009,4.783188691,5.737296829,0.076,5.8455,25.6795,12.65094882
E02000053,1.421583185,82,27.3444,59,0.556302501,4.680335513,5.506390017,0.0868,13.1012,33.8134,26.39873916
E02000054,1.292603646,50,23.4321,46,0.579783597,4.720159303,5.701352943,0.07125,4.376,25.392,19.61569255
E02000055,1.415452339,81,26.6816,38.1,0.643452676,4.688419822,5.810849907,0.074,5.939,34.14316667,26.02869169
E02000056,0.909236881,28,14.4518,20.3,0.763427994,4.916980047,6.147272134,0.0305,1.905,20.4555,8.114035088
E02000057,1.297094686,72,23.504,29.6,0.69019608,4.729974286,5.815496726,0.0615,6.21825,28.211,19.8195909
E02000058,1.120988379,60,17.9063,23.2,0.531478917,4.761175813,5.931615998,0.056166667,2.816833333,26.23416667,13.21260279
E02000059,1.358889354,52,20.5477,57.8,0.380211242,4.644438589,5.549177436,0.1205,14.526,33.6565,22.85016571
E02000060,1.122599491,97,19.8422,27.4,0.591064607,4.688419822,5.832423962,0.0745,6.689833333,26.2335,13.26170891
E02000061,1.45537292,54,20.0327,33.7,0.826074803,4.747411808,6.06497883,0.061,3.1962,31.243,28.53467431
E02000062,1.767739359,37,22.8962,50.6,0.342422681,4.607455023,5.612562416,0.14125,18.62275,36.187,58.57865001
E02000063,1.259695805,72,20.1643,47.7,0.491361694,4.665580991,5.715807867,0.12625,11.90525,28.489,18.18426724
E02000064,1.313863388,83,22.2963,39.1,0.579783597,4.658011397,5.843225301,0.1175,10.30825,29.41075,20.59981824
E02000065,1.334072495,27,18.3439,56.7,0.716003344,4.644438589,5.312854091,0.11625,11.64125,11.19225,21.58104621
E02000066,1.445186778,65,19.1383,47.1,0.785329835,4.57634135,5.374398204,0.1695,23.28533333,11.2545,27.87319658
E02000067,1.382832201,43,19.8032,30.4,0.505149978,4.612783857,5.261619677,0.1382,26.829,21.8972,24.14527747
E02000068,1.564360678,35,20.0075,34.7,0.556302501,4.611723308,5.292455447,0.14075,22.9445,21.19825,36.67420246
E02000069,1.234670182,44,17.9463,25.6,0.477121255,4.644438589,5.375012141,0.11175,19.45125,20.903,17.16604245
E02000070,1.097129409,43,17.1551,17.6,0.397940009,4.706717782,5.463479392,0.085,17.772,11.1898,12.50631632
E02000071,1.250957455,65,19.7746,15.1,0.431363764,4.670245853,5.449299399,0.103,23.9452,15.637,17.82204167
E02000072,1.492426601,27,20.4092,28.7,0.322219295,4.602059991,5.365489857,0.176571429,33.099,14.99914286,31.0761065
E02000073,0.936978224,68,16.3139,16.2,0.255272505,4.762678564,5.527720101,0.067714286,13.36657143,9.071,8.649245491
E02000074,1.295474144,72,17.8699,17.9,0.230448921,4.600972896,5.344233069,0.158,34.1244,16.5104,19.74577317
E02000075,0.893214353,53,15.3837,11.6,0.204119983,4.707570176,5.526211297,0.0768,13.3364,9.6166,7.820136852
E02000077,1.206083639,74,17.5589,17.1,0.380211242,4.72427587,5.460231614,0.0886,19.2768,14.1594,16.07250755
E02000078,0.944976412,53,16.2794,9.4,0.176091259,4.716003344,5.468943706,0.0638,15.1884,13.4144,8.810010215
E02000079,1.68172792,51,17.0471,13.4,0.431363764,4.685741739,5.447829118,0.0848,9.0158,15.3612,48.05382028
E02000080,1.251059258,58,18.8856,18.5,0.477121255,4.684845362,5.484425126,0.077166667,16.75316667,14.99016667,17.82621982
E02000081,1.410758422,36,16.1377,10.4,0.278753601,4.683047038,5.427104554,0.0972,19.008,14.5736,25.74888464
E02000082,0.940436582,61,18.1997,12.6,0.431363764,4.736396502,5.485132033,0.059166667,15.24066667,13.68833333,8.718395815
