LSOACode,Violence_Total
E01000006,5
E01000006,8
E01000006,14
E01000006,0
E01000006,3
E01000006,2
E01000007,45
E01000007,48
E01000007,48
E01000007,5
E01000007,12
E01000007,24
E01000008,13
E01000008,15
E01000008,17
E01000008,1
E01000008,6
E01000008,7
E01000009,19
E01000009,25
E01000009,21
E01000009,1
E01000009,9
E01000009,8
E01000010,69
E01000010,93
E01000010,89
E01000010,0
E01000010,9
E01000010,18
E01000010,52
E01000011,11
E01000011,19
E01000011,17
E01000011,1
E01000011,1
E01000011,3
E01000012,6
E01000012,7
E01000012,13
E01000012,0
E01000012,2
E01000012,3
E01000012,8
E01000013,12
E01000013,23
E01000013,25
E01000013,2
E01000013,0
E01000013,7
E01000014,18
E01000014,14
E01000014,9
E01000014,1
E01000014,3
E01000014,5
E01000015,5
E01000015,11
E01000015,16
E01000015,1
E01000015,6
E01000015,7
E01000016,5
E01000016,9
E01000016,12
E01000016,0
E01000016,1
E01000016,0
E01000017,6
E01000017,11
E01000017,15
E01000017,1
E01000017,4
E01000017,7
E01000018,11
E01000018,8
E01000018,19
E01000018,0
E01000018,0
E01000018,1
E01000018,4
E01000019,9
E01000019,13
E01000019,18
E01000019,0
E01000019,1
E01000019,10
E01000019,1
E01000020,21
E01000020,15
E01000020,17
E01000020,0
E01000020,0
E01000020,6
E01000021,11
E01000021,16
E01000021,14
E01000021,1
E01000021,1
E01000021,5
E01000022,9
E01000022,5
E01000022,8
E01000022,1
E01000022,3
E01000023,38
E01000023,49
E01000023,34
E01000023,3
E01000023,5
E01000023,19
E01000024,8
E01000024,7
E01000024,12
E01000024,1
E01000024,3
E01000024,4
E01000025,8
E01000025,6
E01000025,16
E01000025,1
E01000025,2
E01000025,2
E01000027,19
E01000027,30
E01000027,24
E01000027,1
E01000027,1
E01000027,5
E01000027,13
E01000028,9
E01000028,13
E01000028,12
E01000028,2
E01000028,0
E01000028,4
E01000029,2
E01000029,7
E01000029,4
E01000029,1
E01000029,2
E01000029,4
E01000030,27
E01000030,20
E01000030,14
E01000030,1
E01000030,2
E01000030,7
E01000031,9
E01000031,13
E01000031,13
E01000031,4
E01000031,9
E01000031,6
E01000032,15
E01000032,18
E01000032,18
E01000032,0
E01000032,5
E01000032,8
E01000033,11
E01000033,6
E01000033,19
E01000033,3
E01000033,0
E01000033,2
E01000034,10
E01000034,6
E01000034,6
E01000034,0
E01000034,5
E01000034,6
E01000035,18
E01000035,12
E01000035,15
E01000035,6
E01000035,1
E01000035,5
E01000036,10
E01000036,5
E01000036,9
E01000036,0
E01000036,1
E01000036,3
E01000037,13
E01000037,11
E01000037,16
E01000037,0
E01000037,2
E01000037,3
E01000038,7
E01000038,5
E01000038,5
E01000038,0
E01000038,0
E01000038,2
E01000039,4
E01000039,6
E01000039,10
E01000039,1
E01000039,1
E01000039,2
E01000040,15
E01000040,7
E01000040,16
E01000040,0
E01000040,3
E01000040,4
E01000040,7
E01000041,16
E01000041,7
E01000041,14
E01000041,0
E01000041,5
E01000041,0
E01000042,14
E01000042,17
E01000042,15
E01000042,0
E01000042,6
E01000042,7
E01000043,4
E01000043,6
E01000043,10
E01000043,0
E01000043,2
E01000043,4
E01000044,12
E01000044,11
E01000044,10
E01000044,0
E01000044,4
E01000044,2
E01000045,16
E01000045,19
E01000045,35
E01000045,1
E01000045,9
E01000045,12
E01000046,9
E01000046,9
E01000046,10
E01000046,0
E01000046,1
E01000046,1
E01000048,10
E01000048,14
E01000048,13
E01000048,0
E01000048,4
E01000048,8
E01000049,10
E01000049,12
E01000049,18
E01000049,1
E01000049,2
E01000049,4
E01000049,3
E01000050,11
E01000050,14
E01000050,12
E01000050,1
E01000050,4
E01000050,5
E01000051,7
E01000051,8
E01000051,7
E01000051,0
E01000051,0
E01000051,0
E01000051,4
E01000052,9
E01000052,16
E01000052,22
E01000052,1
E01000052,6
E01000052,3
E01000053,12
E01000053,22
E01000053,14
E01000053,1
E01000053,3
E01000053,14
E01000054,9
E01000054,5
E01000054,5
E01000054,0
E01000054,0
E01000054,2
E01000055,9
E01000055,9
E01000055,14
E01000055,0
E01000055,2
E01000055,3
E01000056,11
E01000056,10
E01000056,16
E01000056,0
E01000056,0
E01000056,2
E01000056,8
E01000057,15
E01000057,5
E01000057,3
E01000057,2
E01000057,1
E01000057,3
E01000058,8
E01000058,11
E01000058,11
E01000058,1
E01000058,3
E01000058,4
E01000059,15
E01000059,8
E01000059,10
E01000059,0
E01000059,1
E01000059,7
E01000060,18
E01000060,27
E01000060,37
E01000060,1
E01000060,4
E01000060,5
E01000060,14
E01000061,14
E01000061,19
E01000061,29
E01000061,0
E01000061,4
E01000061,7
E01000062,8
E01000062,11
E01000062,15
E01000062,1
E01000062,0
E01000062,4
E01000063,2
E01000063,12
E01000063,19
E01000063,0
E01000063,0
E01000063,2
E01000063,9
E01000064,11
E01000064,24
E01000064,21
E01000064,1
E01000064,1
E01000064,5
E01000065,9
E01000065,5
E01000065,17
E01000065,1
E01000065,0
E01000065,5
E01000066,13
E01000066,10
E01000066,17
E01000066,1
E01000066,0
E01000066,3
E01000067,7
E01000067,8
E01000067,11
E01000067,1
E01000067,2
E01000067,5
E01000068,7
E01000068,17
E01000068,5
E01000068,0
E01000068,2
E01000068,4
E01000069,11
E01000069,5
E01000069,5
E01000069,0
E01000069,0
E01000069,2
E01000069,5
E01000070,11
E01000070,20
E01000070,19
E01000070,0
E01000070,3
E01000070,7
E01000071,7
E01000071,15
E01000071,17
E01000071,1
E01000071,1
E01000071,8
E01000072,19
E01000072,18
E01000072,22
E01000072,1
E01000072,1
E01000072,22
E01000073,6
E01000073,13
E01000073,12
E01000073,0
E01000073,2
E01000073,6
E01000074,6
E01000074,8
E01000074,18
E01000074,1
E01000074,0
E01000074,3
E01000075,15
E01000075,13
E01000075,23
E01000075,0
E01000075,1
E01000075,3
E01000075,6
E01000076,7
E01000076,8
E01000076,10
E01000076,0
E01000076,1
E01000076,4
E01000077,6
E01000077,17
E01000077,19
E01000077,2
E01000077,1
E01000077,5
E01000078,11
E01000078,14
E01000078,20
E01000078,2
E01000078,2
E01000078,1
E01000079,11
E01000079,18
E01000079,12
E01000079,2
E01000079,1
E01000079,3
E01000080,11
E01000080,10
E01000080,10
E01000080,1
E01000080,3
E01000080,8
E01000081,6
E01000081,9
E01000081,12
E01000081,0
E01000081,3
E01000081,2
E01000082,11
E01000082,11
E01000082,14
E01000082,0
E01000082,2
E01000082,4
E01000082,11
E01000083,8
E01000083,16
E01000083,15
E01000083,1
E01000083,2
E01000083,6
E01000084,19
E01000084,10
E01000084,22
E01000084,0
E01000084,3
E01000084,2
E01000085,11
E01000085,17
E01000085,18
E01000085,0
E01000085,5
E01000085,7
E01000086,9
E01000086,15
E01000086,17
E01000086,0
E01000086,5
E01000086,5
E01000087,9
E01000087,16
E01000087,21
E01000087,1
E01000087,2
E01000087,8
E01000088,19
E01000088,22
E01000088,18
E01000088,4
E01000088,5
E01000088,9
E01000089,8
E01000089,11
E01000089,13
E01000089,1
E01000089,1
E01000089,4
E01000090,7
E01000090,10
E01000090,5
E01000090,1
E01000090,0
E01000090,7
E01000091,12
E01000091,18
E01000091,22
E01000091,1
E01000091,2
E01000091,10
E01000092,45
E01000092,44
E01000092,52
E01000092,1
E01000092,13
E01000092,23
E01000093,14
E01000093,22
E01000093,14
E01000093,0
E01000093,1
E01000093,2
E01000093,10
E01000094,14
E01000094,15
E01000094,16
E01000094,3
E01000094,4
E01000094,4
E01000095,17
E01000095,29
E01000095,36
E01000095,1
E01000095,7
E01000095,12
E01000096,19
E01000096,14
E01000096,19
E01000096,0
E01000096,11
E01000096,8
E01000097,8
E01000097,12
E01000097,9
E01000097,0
E01000097,1
E01000097,3
E01000098,8
E01000098,7
E01000098,17
E01000098,1
E01000098,9
E01000098,6
E01000099,9
E01000099,13
E01000099,21
E01000099,2
E01000099,2
E01000099,6
E01000100,13
E01000100,9
E01000100,18
E01000100,1
E01000100,2
E01000100,3
E01000101,12
E01000101,14
E01000101,14
E01000101,2
E01000101,1
E01000101,3
E01000102,6
E01000102,10
E01000102,13
E01000102,2
E01000102,5
E01000102,5
E01000103,7
E01000103,14
E01000103,11
E01000103,0
E01000103,1
E01000103,1
E01000104,8
E01000104,16
E01000104,17
E01000104,0
E01000104,7
E01000104,4
E01000105,23
E01000105,28
E01000105,36
E01000105,2
E01000105,3
E01000105,9
E01000106,23
E01000106,22
E01000106,25
E01000106,1
E01000106,3
E01000106,2
E01000106,10
E01000107,5
E01000107,5
E01000107,6
E01000107,0
E01000107,4
E01000107,2
E01000108,12
E01000108,19
E01000108,22
E01000108,1
E01000108,4
E01000108,4
E01000109,9
E01000109,15
E01000109,9
E01000109,0
E01000109,9
E01000109,9
E01000110,4
E01000110,5
E01000110,7
E01000110,0
E01000110,0
E01000110,1
E01000111,22
E01000111,18
E01000111,19
E01000111,0
E01000111,1
E01000111,5
E01000111,7
E01000112,3
E01000112,9
E01000112,17
E01000112,1
E01000112,1
E01000112,6
E01000113,13
E01000113,19
E01000113,12
E01000113,0
E01000113,1
E01000113,2
E01000113,3
E01000114,9
E01000114,20
E01000114,18
E01000114,3
E01000114,3
E01000114,5
E01000115,2
E01000115,2
E01000115,2
E01000115,2
E01000115,0
E01000115,0
E01000116,2
E01000116,4
E01000116,5
E01000116,1
E01000116,0
E01000116,3
E01000117,9
E01000117,2
E01000117,10
E01000117,0
E01000117,2
E01000117,2
E01000118,4
E01000118,8
E01000118,4
E01000118,0
E01000118,3
E01000119,2
E01000119,4
E01000119,5
E01000119,0
E01000119,2
E01000119,1
E01000119,0
E01000120,2
E01000120,1
E01000120,4
E01000120,0
E01000120,1
E01000121,5
E01000121,4
E01000121,12
E01000121,0
E01000121,1
E01000121,2
E01000122,3
E01000122,3
E01000122,8
E01000122,0
E01000122,3
E01000123,1
E01000123,4
E01000123,20
E01000123,1
E01000123,5
E01000123,7
E01000124,8
E01000124,13
E01000124,25
E01000124,1
E01000124,1
E01000124,3
E01000125,39
E01000125,53
E01000125,43
E01000125,0
E01000125,5
E01000125,18
E01000126,9
E01000126,17
E01000126,17
E01000126,0
E01000126,1
E01000126,2
E01000127,7
E01000127,4
E01000127,9
E01000127,1
E01000127,2
E01000127,5
E01000128,3
E01000128,18
E01000128,18
E01000128,0
E01000128,0
E01000128,5
E01000129,25
E01000129,34
E01000129,26
E01000129,0
E01000129,4
E01000129,6
E01000129,16
E01000130,6
E01000130,17
E01000130,21
E01000130,0
E01000130,0
E01000130,7
E01000131,9
E01000131,9
E01000131,16
E01000131,1
E01000131,1
E01000131,7
E01000132,6
E01000132,10
E01000132,18
E01000132,0
E01000132,0
E01000132,5
E01000133,6
E01000133,6
E01000133,15
E01000133,1
E01000133,0
E01000133,2
E01000134,5
E01000134,19
E01000134,7
E01000134,2
E01000134,2
E01000134,1
E01000135,4
E01000135,3
E01000135,12
E01000135,0
E01000135,1
E01000135,0
E01000136,3
E01000136,7
E01000136,11
E01000136,0
E01000136,0
E01000136,2
E01000137,8
E01000137,14
E01000137,10
E01000137,0
E01000137,3
E01000137,3
E01000138,3
E01000138,10
E01000138,11
E01000138,0
E01000138,1
E01000138,1
E01000138,2
E01000139,6
E01000139,5
E01000139,6
E01000139,0
E01000139,0
E01000139,7
E01000140,6
E01000140,7
E01000140,17
E01000140,1
E01000140,2
E01000140,2
E01000141,38
E01000141,36
E01000141,61
E01000141,1
E01000141,11
E01000141,21
E01000142,5
E01000142,13
E01000142,20
E01000142,0
E01000142,1
E01000142,1
E01000143,5
E01000143,6
E01000143,25
E01000143,0
E01000143,1
E01000143,2
E01000144,21
E01000144,13
E01000144,18
E01000144,0
E01000144,2
E01000144,2
E01000145,4
E01000145,7
E01000145,11
E01000145,0
E01000145,2
E01000145,5
E01000146,17
E01000146,35
E01000146,46
E01000146,0
E01000146,11
E01000146,8
E01000147,6
E01000147,8
E01000147,9
E01000147,0
E01000147,0
E01000147,6
E01000148,14
E01000148,21
E01000148,23
E01000148,1
E01000148,5
E01000148,13
E01000150,7
E01000150,21
E01000150,10
E01000150,2
E01000150,1
E01000150,4
E01000151,19
E01000151,16
E01000151,26
E01000151,5
E01000151,2
E01000151,5
E01000152,10
E01000152,6
E01000152,15
E01000152,3
E01000152,3
E01000152,4
E01000153,12
E01000153,13
E01000153,20
E01000153,4
E01000153,5
E01000153,6
E01000154,8
E01000154,3
E01000154,20
E01000154,0
E01000154,0
E01000154,4
E01000155,22
E01000155,21
E01000155,23
E01000155,1
E01000155,2
E01000155,9
E01000156,6
E01000156,6
E01000156,5
E01000156,0
E01000156,1
E01000156,1
E01000157,5
E01000157,9
E01000157,11
E01000157,0
E01000157,0
E01000157,2
E01000158,7
E01000158,4
E01000158,17
E01000158,0
E01000158,1
E01000158,1
E01000159,7
E01000159,9
E01000159,9
E01000159,2
E01000159,0
E01000159,1
E01000160,7
E01000160,7
E01000160,30
E01000160,0
E01000160,3
E01000160,6
E01000161,4
E01000161,4
E01000161,16
E01000161,0
E01000161,2
E01000161,6
E01000162,14
E01000162,15
E01000162,21
E01000162,1
E01000162,0
E01000162,3
E01000163,10
E01000163,4
E01000163,16
E01000163,1
E01000163,6
E01000163,4
E01000164,20
E01000164,19
E01000164,17
E01000164,1
E01000164,1
E01000164,6
E01000165,1
E01000165,1
E01000165,7
E01000165,0
E01000165,0
E01000165,1
E01000166,5
E01000166,2
E01000166,11
E01000166,0
E01000166,2
E01000166,1
E01000167,4
E01000167,5
E01000167,15
E01000167,0
E01000167,0
E01000167,1
E01000167,2
E01000168,3
E01000168,4
E01000168,2
E01000168,0
E01000168,1
E01000169,6
E01000169,5
E01000169,7
E01000169,0
E01000169,0
E01000169,2
E01000170,12
E01000170,5
E01000170,24
E01000170,1
E01000170,1
E01000170,1
E01000171,11
E01000171,20
E01000171,40
E01000171,2
E01000171,5
E01000171,5
E01000172,3
E01000172,9
E01000172,4
E01000172,0
E01000172,0
E01000172,1
E01000173,5
E01000173,9
E01000173,11
E01000173,4
E01000173,0
E01000174,9
E01000174,10
E01000174,14
E01000174,0
E01000174,1
E01000174,5
E01000175,1
E01000175,7
E01000175,6
E01000175,1
E01000176,3
E01000176,4
E01000176,22
E01000176,0
E01000176,0
E01000176,2
E01000177,1
E01000177,2
E01000177,10
E01000177,0
E01000177,0
E01000177,0
E01000178,1
E01000178,7
E01000178,9
E01000178,2
E01000178,2
E01000178,5
E01000179,3
E01000179,6
E01000179,6
E01000179,0
E01000179,3
E01000179,1
E01000180,9
E01000180,7
E01000180,10
E01000180,2
E01000180,0
E01000180,3
E01000180,3
E01000181,10
E01000181,6
E01000181,13
E01000181,1
E01000181,0
E01000181,1
E01000181,0
E01000182,2
E01000182,2
E01000182,8
E01000182,1
E01000182,0
E01000182,0
E01000183,1
E01000183,4
E01000183,2
E01000183,0
E01000183,1
E01000184,4
E01000184,6
E01000184,10
E01000184,0
E01000184,1
E01000184,2
E01000185,2
E01000185,6
E01000185,10
E01000185,0
E01000185,0
E01000185,4
E01000186,4
E01000186,4
E01000186,14
E01000186,0
E01000186,0
E01000187,5
E01000187,6
E01000187,21
E01000187,0
E01000187,2
E01000187,2
E01000188,6
E01000188,14
E01000188,9
E01000188,0
E01000188,0
E01000188,2
E01000189,8
E01000189,8
E01000189,16
E01000189,1
E01000189,0
E01000189,5
E01000190,2
E01000190,4
E01000190,7
E01000190,0
E01000190,2
E01000190,1
E01000191,3
E01000191,2
E01000191,6
E01000191,0
E01000191,1
E01000191,0
E01000192,13
E01000192,26
E01000192,33
E01000192,1
E01000192,2
E01000192,10
E01000193,14
E01000193,22
E01000193,35
E01000193,0
E01000193,1
E01000193,3
E01000193,1
E01000194,18
E01000194,18
E01000194,21
E01000194,0
E01000194,4
E01000194,14
E01000195,12
E01000195,14
E01000195,13
E01000195,0
E01000195,1
E01000195,3
E01000195,2
E01000196,10
E01000196,14
E01000196,26
E01000196,1
E01000196,2
E01000196,5
E01000197,1
E01000197,9
E01000197,13
E01000197,0
E01000197,0
E01000197,0
E01000197,3
E01000198,5
E01000198,9
E01000198,5
E01000198,0
E01000198,0
E01000198,4
E01000199,3
E01000199,1
E01000199,9
E01000199,0
E01000199,0
E01000199,0
E01000200,6
E01000200,4
E01000200,7
E01000200,0
E01000200,0
E01000200,0
E01000201,1
E01000201,3
E01000201,6
E01000201,0
E01000201,0
E01000201,1
E01000202,0
E01000202,2
E01000202,8
E01000202,0
E01000202,0
E01000202,0
E01000203,5
E01000203,10
E01000203,8
E01000203,1
E01000203,1
E01000203,1
E01000203,2
E01000204,4
E01000204,14
E01000204,11
E01000204,1
E01000204,2
E01000204,1
E01000205,4
E01000205,8
E01000205,9
E01000205,1
E01000205,1
E01000206,0
E01000206,3
E01000206,7
E01000206,0
E01000206,1
E01000207,2
E01000207,3
E01000207,9
E01000207,0
E01000207,0
E01000208,1
E01000208,6
E01000208,9
E01000208,1
E01000208,1
E01000209,4
E01000209,3
E01000209,8
E01000209,2
E01000209,0
E01000210,3
E01000210,2
E01000210,5
E01000210,0
E01000210,1
E01000210,3
E01000211,8
E01000211,9
E01000211,32
E01000211,0
E01000211,3
E01000211,5
E01000212,3
E01000212,5
E01000212,7
E01000212,1
E01000212,2
E01000213,4
E01000213,1
E01000213,4
E01000213,0
E01000214,5
E01000214,4
E01000214,17
E01000214,0
E01000214,0
E01000214,2
E01000215,9
E01000215,4
E01000215,13
E01000215,0
E01000215,0
E01000215,0
E01000215,0
E01000216,0
E01000216,5
E01000216,8
E01000216,0
E01000216,0
E01000216,2
E01000217,1
E01000217,6
E01000217,4
E01000217,2
E01000217,0
E01000218,2
E01000218,8
E01000218,11
E01000218,0
E01000218,1
E01000218,2
E01000219,7
E01000219,5
E01000219,19
E01000219,0
E01000219,0
E01000219,3
E01000219,4
E01000220,2
E01000220,9
E01000220,13
E01000220,0
E01000220,1
E01000220,1
E01000221,13
E01000221,30
E01000221,21
E01000221,0
E01000221,2
E01000221,2
E01000221,10
E01000222,7
E01000222,11
E01000222,13
E01000222,0
E01000222,9
E01000222,5
E01000223,13
E01000223,5
E01000223,18
E01000223,1
E01000223,2
E01000223,2
E01000224,6
E01000224,5
E01000224,9
E01000224,0
E01000224,1
E01000224,1
E01000225,1
E01000225,8
E01000225,4
E01000225,0
E01000225,2
E01000226,6
E01000226,6
E01000226,10
E01000226,0
E01000226,3
E01000226,2
E01000227,2
E01000227,6
E01000227,7
E01000227,0
E01000227,1
E01000227,0
E01000228,6
E01000228,5
E01000228,9
E01000228,3
E01000228,1
E01000229,11
E01000229,10
E01000229,19
E01000229,0
E01000229,1
E01000229,1
E01000230,4
E01000230,7
E01000230,7
E01000230,0
E01000230,3
E01000230,0
E01000231,8
E01000231,12
E01000231,10
E01000231,1
E01000231,6
E01000231,1
E01000232,8
E01000232,14
E01000232,9
E01000232,0
E01000232,3
E01000232,2
E01000233,8
E01000233,6
E01000233,20
E01000233,1
E01000233,2
E01000233,3
E01000234,2
E01000234,4
E01000234,10
E01000234,0
E01000234,1
E01000234,1
E01000235,10
E01000235,12
E01000235,19
E01000235,2
E01000235,7
E01000235,5
E01000236,4
E01000236,3
E01000236,7
E01000236,0
E01000236,0
E01000236,1
E01000237,18
E01000237,21
E01000237,27
E01000237,3
E01000237,1
E01000237,9
E01000238,3
E01000238,3
E01000238,11
E01000238,1
E01000238,1
E01000238,3
E01000239,12
E01000239,13
E01000239,22
E01000239,0
E01000239,4
E01000239,5
E01000239,2
E01000240,4
E01000240,6
E01000240,13
E01000240,0
E01000240,3
E01000240,4
E01000241,8
E01000241,7
E01000241,7
E01000241,0
E01000241,6
E01000241,2
E01000242,6
E01000242,9
E01000242,11
E01000242,2
E01000242,3
E01000242,3
E01000243,13
E01000243,19
E01000243,18
E01000243,0
E01000243,1
E01000243,0
E01000243,3
E01000244,10
E01000244,9
E01000244,15
E01000244,1
E01000244,0
E01000244,3
E01000245,7
E01000245,18
E01000245,30
E01000245,0
E01000245,1
E01000245,7
E01000245,3
E01000246,2
E01000246,3
E01000246,8
E01000246,0
