MSOAcode,MSOAName,Population,PopDensity,Age16_29%,BAME%,Householdspaces_no_usualresidents,Household_Income,House_Price
E02000001,City of London 001,"8,760",30,20.0228,21.4,1.315970345,4.901458321,5.968177901
E02000002,Barking and Dagenham 001,"7,301",34,17.7236,35,0.462397998,4.586587305,5.3762922
E02000003,Barking and Dagenham 002,"10,810",50,18.6031,45.4,0.447158031,4.666517981,5.398328962
E02000004,Barking and Dagenham 003,"6,491",26,21.9535,19,0.278753601,4.656098202,5.415759377
E02000005,Barking and Dagenham 004,"9,060",76,18.4989,33.7,0.431363764,4.612783857,5.398138002
E02000007,Barking and Dagenham 006,"9,415",54,19.915,32.8,0.414973348,4.558708571,5.371260018
E02000008,Barking and Dagenham 007,"12,208",86,17.9472,30.4,0.041392685,4.551449998,5.359247174
E02000009,Barking and Dagenham 008,"10,426",108,19.4034,38.8,0.380211242,4.5774918,5.343725582
E02000010,Barking and Dagenham 009,"9,132",81,18.1121,30.8,0.204119983,4.596597096,5.348049664
E02000011,Barking and Dagenham 010,"6,709",42,19.1683,33.6,0.397940009,4.638489257,5.3787757
E02000012,Barking and Dagenham 011,"10,766",83,22.794,56.1,0.255272505,4.705863712,5.514826568
E02000013,Barking and Dagenham 012,"8,792",67,16.9359,31.1,0.176091259,4.592176757,5.372272973
E02000014,Barking and Dagenham 013,"9,629",81,17.7173,29.5,0.230448921,4.580924976,5.359059128
E02000015,Barking and Dagenham 014,"7,795",57,20.8339,36.7,0.278753601,4.588831726,5.307376216
E02000016,Barking and Dagenham 015,"8,892",100,23.1669,70.4,0.643452676,4.617000341,5.274591927
E02000017,Barking and Dagenham 016,"8,860",101,22.5959,68.7,0.380211242,4.691081492,5.386498966
E02000018,Barking and Dagenham 017,"9,431",69,19.245,35.9,-0.15490196,4.553883027,5.351686174
E02000019,Barking and Dagenham 018,"9,079",30,17.8324,36.1,0.255272505,4.603144373,5.360962426
E02000020,Barking and Dagenham 019,"11,742",34,19.5026,53.6,0.361727836,4.609594409,5.321040966
E02000021,Barking and Dagenham 020,"8,610",30,18.223,42.5,0.556302501,4.588831726,5.343566132
E02000022,Barking and Dagenham 021,"8,655",116,18.8793,61.8,-0.15490196,4.532754379,5.281467445
E02000023,Barking and Dagenham 022,"7,481",43,19.1017,54.8,0.176091259,4.549003262,5.356199923
E02006799,Barking and Dagenham 023,"10,695",92,18.0645,37.9,0.431363764,4.57054294,5.408178888
E02000024,Barnet 001,"10,982",29,14.8243,16.6,0.653212514,4.802089258,5.72130433
E02000025,Barnet 002,"8,423",35,15.2321,21.3,0.447158031,4.698100546,5.605908113
E02000026,Barnet 003,"6,567",45,14.9536,21.4,0.230448921,4.737987326,5.680795857
E02000027,Barnet 004,"10,083",60,17.2964,30.3,0.230448921,4.672097858,5.629299482
E02000028,Barnet 005,"6,591",62,15.7943,25.1,0.113943352,4.744292983,5.658040985
E02000029,Barnet 006,"9,002",53,15.8076,25,0.146128036,4.683047038,5.569152609
E02000030,Barnet 007,"9,377",6,15.1008,25,0.62324929,4.773786445,5.967236651
E02000031,Barnet 008,"7,311",38,15.251,28.4,0.447158031,4.751279104,5.834913218
